scenario,strategy,job_index,makespan_seconds,energy_joules
heterogeneous_overhead,adaptive_dlt,10,4.2041,257.6375
heterogeneous_overhead,adaptive_dlt,11,4.1635,263.9329
heterogeneous_overhead,adaptive_dlt,12,4.2726,259.7345
heterogeneous_overhead,adaptive_dlt,13,4.7135,271.6311
heterogeneous_overhead,adaptive_dlt,14,4.1985,263.9482
heterogeneous_overhead,adaptive_dlt,15,5.0876,286.8526
heterogeneous_overhead,adaptive_dlt,16,4.25,242.6761
heterogeneous_overhead,adaptive_dlt,17,4.1361,257.7653
heterogeneous_overhead,adaptive_dlt,18,4.3659,268.1399
heterogeneous_overhead,adaptive_dlt,19,4.0366,255.2946
heterogeneous_overhead,adaptive_dlt,20,4.3573,260.4025
heterogeneous_overhead,adaptive_dlt,21,4.0,237.9677
heterogeneous_overhead,adaptive_dlt,22,4.1042,245.35
heterogeneous_overhead,adaptive_dlt,23,4.5612,262.0538
heterogeneous_overhead,adaptive_dlt,24,4.7311,281.8192
heterogeneous_overhead,adaptive_dlt,25,4.1349,261.6014
heterogeneous_overhead,adaptive_dlt,26,4.0422,248.252
heterogeneous_overhead,adaptive_dlt,27,4.3939,264.9515
heterogeneous_overhead,adaptive_dlt,28,4.4688,270.9378
heterogeneous_overhead,adaptive_dlt,29,4.125,254.1987
heterogeneous_overhead,adaptive_dlt,30,4.5131,280.3549
heterogeneous_overhead,adaptive_dlt,31,4.125,247.9977
heterogeneous_overhead,adaptive_dlt,32,4.0,242.5145
heterogeneous_overhead,adaptive_dlt,33,4.6419,270.2574
heterogeneous_overhead,adaptive_dlt,34,4.0487,252.6565
heterogeneous_overhead,adaptive_dlt,35,5.0885,278.1049
heterogeneous_overhead,adaptive_dlt,36,4.4206,262.4697
heterogeneous_overhead,adaptive_dlt,37,4.2804,257.9652
heterogeneous_overhead,adaptive_dlt,38,4.3392,266.4339
heterogeneous_overhead,adaptive_dlt,39,4.125,258.7974
unreliable_helper,fixed_equal,0,4.6077,286.5647
unreliable_helper,fixed_equal,1,8.375,301.3264
unreliable_helper,fixed_equal,2,4.25,271.0973
unreliable_helper,fixed_equal,3,5.1142,295.9743
unreliable_helper,fixed_equal,4,8.375,290.9211
unreliable_helper,fixed_equal,5,4.7455,271.0157
unreliable_helper,fixed_equal,6,8.375,291.2842
unreliable_helper,fixed_equal,7,8.375,285.1706
unreliable_helper,fixed_equal,8,8.375,289.0558
unreliable_helper,fixed_equal,9,4.25,256.9037
unreliable_helper,fixed_equal,10,4.3852,279.8372
unreliable_helper,fixed_equal,11,8.375,293.5433
unreliable_helper,fixed_equal,12,8.375,296.3687
unreliable_helper,fixed_equal,13,8.375,302.2755
unreliable_helper,fixed_equal,14,4.9489,297.8437
unreliable_helper,fixed_equal,15,4.3305,273.0175
unreliable_helper,fixed_equal,16,8.375,284.423
unreliable_helper,fixed_equal,17,8.375,288.296
unreliable_helper,fixed_equal,18,8.375,281.8972
unreliable_helper,fixed_equal,19,4.3979,276.9797
unreliable_helper,fixed_equal,20,5.2469,289.8365
unreliable_helper,fixed_equal,21,8.375,293.2609
unreliable_helper,fixed_equal,22,4.25,258.731
unreliable_helper,fixed_equal,23,4.25,262.2649
unreliable_helper,fixed_equal,24,8.375,284.6109
unreliable_helper,fixed_equal,25,4.25,270.8704
unreliable_helper,fixed_equal,26,4.737,278.3469
unreliable_helper,fixed_equal,27,4.25,258.9261
unreliable_helper,fixed_equal,28,4.25,269.7292
unreliable_helper,fixed_equal,29,12.5,312.5
unreliable_helper,fixed_equal,30,8.375,283.3169
unreliable_helper,fixed_equal,31,8.375,285.1942
unreliable_helper,fixed_equal,32,8.375,307.6738
unreliable_helper,fixed_equal,33,4.25,264.8259
unreliable_helper,fixed_equal,34,4.2512,270.9372
unreliable_helper,fixed_equal,35,8.375,299.0872
unreliable_helper,fixed_equal,36,4.5977,282.6722
unreliable_helper,fixed_equal,37,8.375,288.7017
unreliable_helper,fixed_equal,38,8.375,293.0969
unreliable_helper,fixed_equal,39,4.5851,277.2091
unreliable_helper,proportional_snapshot,0,10.75,300.6915
unreliable_helper,proportional_snapshot,1,8.75,293.5766
unreliable_helper,proportional_snapshot,2,8.75,300.3934
unreliable_helper,proportional_snapshot,3,8.75,301.1177
unreliable_helper,proportional_snapshot,4,10.5,308.7168
unreliable_helper,proportional_snapshot,5,12.5,312.5
unreliable_helper,proportional_snapshot,6,10.125,295.9593
unreliable_helper,proportional_snapshot,7,10.375,303.8205
unreliable_helper,proportional_snapshot,8,8.75,301.6543
unreliable_helper,proportional_snapshot,9,10.625,309.1358
unreliable_helper,proportional_snapshot,10,10.625,303.1875
unreliable_helper,proportional_snapshot,11,10.25,297.0659
unreliable_helper,proportional_snapshot,12,8.75,303.0453
unreliable_helper,proportional_snapshot,13,10.625,302.7948
unreliable_helper,proportional_snapshot,14,8.75,300.3868
unreliable_helper,proportional_snapshot,15,8.75,298.4305
unreliable_helper,proportional_snapshot,16,8.75,300.7572
unreliable_helper,proportional_snapshot,17,8.75,295.7864
unreliable_helper,proportional_snapshot,18,10.375,297.1779
unreliable_helper,proportional_snapshot,19,10.875,306.4554
unreliable_helper,proportional_snapshot,20,10.75,303.7643
unreliable_helper,proportional_snapshot,21,10.375,296.6669
unreliable_helper,proportional_snapshot,22,8.75,294.715
unreliable_helper,proportional_snapshot,23,8.75,290.1933
unreliable_helper,proportional_snapshot,24,8.75,292.4778
unreliable_helper,proportional_snapshot,25,10.625,306.6242
unreliable_helper,proportional_snapshot,26,10.625,306.9349
unreliable_helper,proportional_snapshot,27,8.75,301.3126
unreliable_helper,proportional_snapshot,28,10.75,304.7019
unreliable_helper,proportional_snapshot,29,8.75,301.6617
unreliable_helper,proportional_snapshot,30,10.75,307.9436
unreliable_helper,proportional_snapshot,31,10.875,309.1345
unreliable_helper,proportional_snapshot,32,10.5,302.9749
unreliable_helper,proportional_snapshot,33,8.75,301.2216
unreliable_helper,proportional_snapshot,34,8.75,290.6914
unreliable_helper,proportional_snapshot,35,8.75,297.1908
unreliable_helper,proportional_snapshot,36,10.625,301.3953
unreliable_helper,proportional_snapshot,37,8.75,292.2776
unreliable_helper,proportional_snapshot,38,8.75,302.1698
unreliable_helper,proportional_snapshot,39,8.75,297.1489
unreliable_helper,adaptive_dlt,0,8.75,296.2588
unreliable_helper,adaptive_dlt,1,5.3521,282.1722
unreliable_helper,adaptive_dlt,2,4.5,268.4244
unreliable_helper,adaptive_dlt,3,4.375,278.0519
unreliable_helper,adaptive_dlt,4,8.0,279.5278
unreliable_helper,adaptive_dlt,5,7.5,290.4874
unreliable_helper,adaptive_dlt,6,7.375,281.6767
unreliable_helper,adaptive_dlt,7,6.1164,300.2374
unreliable_helper,adaptive_dlt,8,5.6649,295.9722
unreliable_helper,adaptive_dlt,9,5.0,275.2519
unreliable_helper,adaptive_dlt,10,4.75,269.2218
unreliable_helper,adaptive_dlt,11,8.0,300.4874
unreliable_helper,adaptive_dlt,12,7.75,294.434
unreliable_helper,adaptive_dlt,13,5.4506,281.7061
unreliable_helper,adaptive_dlt,14,7.875,277.469
unreliable_helper,adaptive_dlt,15,5.4405,281.2645
unreliable_helper,adaptive_dlt,16,7.75,282.118
unreliable_helper,adaptive_dlt,17,5.3783,287.3346
unreliable_helper,adaptive_dlt,18,4.875,259.8388
unreliable_helper,adaptive_dlt,19,7.625,299.236
unreliable_helper,adaptive_dlt,20,5.076,277.437
unreliable_helper,adaptive_dlt,21,7.75,282.7929
unreliable_helper,adaptive_dlt,22,6.1481,302.4957
unreliable_helper,adaptive_dlt,23,7.75,293.7424
unreliable_helper,adaptive_dlt,24,7.5,278.6728
unreliable_helper,adaptive_dlt,25,7.125,291.9152
unreliable_helper,adaptive_dlt,26,7.0,291.6545
unreliable_helper,adaptive_dlt,27,6.875,273.6683
unreliable_helper,adaptive_dlt,28,6.1781,287.0781
unreliable_helper,adaptive_dlt,29,7.125,291.5959
unreliable_helper,adaptive_dlt,30,7.0,282.1936
unreliable_helper,adaptive_dlt,31,5.7947,279.0516
unreliable_helper,adaptive_dlt,32,6.0297,282.6328
unreliable_helper,adaptive_dlt,33,4.875,262.4239
unreliable_helper,adaptive_dlt,34,5.0891,279.2976
unreliable_helper,adaptive_dlt,35,4.8994,286.1533
unreliable_helper,adaptive_dlt,36,8.25,305.0668
unreliable_helper,adaptive_dlt,37,8.0,292.7969
unreliable_helper,adaptive_dlt,38,7.625,285.8066
unreliable_helper,adaptive_dlt,39,5.375,263.2309
